authorId,authorName,affiliatedOrg
9583743,Maria Ruiperez González,12
50666189,Giuseppe Carleo,12
50429153,P. Mattila,12
34764116,Chengfei Yan,12
47712786,F. Bianchi,12
30971409,W. Alef,12
1769599,P. Pagano,12
123305048,Chen Tian,12
2409499,K. Gaedke,12
1413903838,Lasse Thostrup,12
145072875,S. Shekhar,12
13669655,Pieter Espeel,12
34828439,M. Stronati,12
2064370992,Daniel Mills,12
2066704894,S. Di,13
2837679,Jinguang Han,13
2111364371,J. White,13
2237622240,H. Hofstee,13
144356993,S. S. Iyengar,13
1712275,B. Bhargava,13
6307534,J. Rideout,13
30912359,Simone Bertoli,13
39454224,Arnab Phani,13
2131193529,Andrew Bradley,13
32618175,M. Goldbaum,13
1580222881,J. Williams,13
2357983,Xiaodong Cui,13
1718471,K. Schwan,13
1792062,Jasmina Malicevic,13
39908645,A. Singleton,13
2108754292,Xinwang Liu,13
143784287,K. Jaganathan,13
1776969,Goce Trajcevski,13
2975905,G. Gelinck,13
1901688087,Zheyuan Hu,13
1899648,Kisung Lee,13
2141377585,Yu Bai,13
49462068,Angelika Schneider,13
3048564,M. Schuld,13
2065813820,Lenka Zdeborov'a,13
145590185,Karthik Sankaranarayanan,13
2206128,A. Okujeni,13
2109278431,Heng Liu,13
1886238,B. Caffo,13
48495089,M. Zschunke,13
81546514,Z. Yakhini,13
65991810,Alexandre Ribas Semeler,13
2526367,Martin J. Aryee,13
1975615,I. J. Aalbersberg,13
145937021,Michael G. Pecht,13
143824511,Bingsheng He,14
34462159,Somnath Mazumdar,14
3353468,J. Rhee,14
2007982,T. Nakane,14
50556355,F. Tao,14
12013287,Yuan-jie Li,14
39126788,Krishnaprasad Shastry,14
1409931639,Yuhua Xu,14
2154742781,Weigang Chen,14
50081327,Lei Zhang,14
48321874,Weisen Shi,14
144440084,Michael J. Muller,14
38300863,Jiří Šimša,14
2052275005,Claire Cui,14
2108227583,Muyuan Chen,14
2999876,Theodore L. Willke,14
2665814,H. Neven,14
1738428,Wenke Lee,14
4237628,N. Biyani,14
9106757,D. Keim,14
3852593,C. Sherbourne,14
2096458,Luke Metz,14
40225085,Mohak Shah,14
2115290745,Se Un Park,14
145341779,J. R. Quinlan,14
1729912945,Callista Bee,14
2254233737,K. Asada,14
2074979,Minyang Han,14
47053167,R. Dunbrack,14
1918088,F. V. van Eeuwijk,14
3220180,A. Mitra,14
1687701,A. Joseph,14
5744386,G. Schlomer,14
2003626,Zhengping Qian,14
145914256,Hai Jin,15
1734917,Junaid Qadir,15
1749988,B. Furht,15
48761825,M. Ijaz,15
14007711,P. H. Krumperman,15
1747102,Rubao Lee,15
15074708,Jieqiong Lei,15
2188986,V. Roy,15
1689108,O. Vinyals,15
2972227,Philip H. Winne,15
2170760,F. Biessmann,15
7993996,Kieran R. Campbell,15
39972129,V. Stoyanova,15
1702392,C. Faloutsos,15
2545358,Z. Chen,15
1800889,M. Zanin,15
153499405,Patrick Nitschke,15
143609842,S. Qin,15
145550877,Ninghui Sun,15
1925224,S. Shamshirband,15
8878341,S. Monkewitz,15
3452118,S. Goswami,15
153189200,Tao Jiang,15
2143454301,Yuzhen Huang,15
40091832,Deepavali Bhagwat,15
40071013,Zili Meng,15
50742688,A. Tagarakis,15
1403270550,A. Al-Mallahi,15
145507543,Juan C. Caicedo,15
49339941,Imane El Alaoui,15
1966497,Reynold Cheng,15
1707756,M. Steinbach,15
144366819,A. Kayes,15
1771538,C. Bellinger,15
2110651504,Limin Sun,15
1950842,Sumit Purohit,15
1713669,R. Deng,15
2281247548,Laith Alzubaidi,16
2791563,György J. Simon,16
32381922,Sneha Naraseeyappa,16
2913270,Muhammad Syafrudin,16
1789486,G. Finlayson,16
33270118,Philip J. Guo,16
46432609,J. Kiernan,16
144637915,M. Ma,16
2153032129,Hui Zhao,16
33666044,A. Senior,16
47921134,J. Jumper,16
3203657,Andrew Delong,16
2407462,Z. Otwinowski,16
1717462,G. Blelloch,16
50594282,T. Blaschke,16
143762617,M. Wurst,16
3367786,Tim Harley,16
10720938,Baole Ai,16
3663203,C. McHorney,16
48982395,A. Comber,16
2110120660,Zhen Li,16
80646261,Huanghao Mai,16
3071249,Kevin W. Hamlen,16
2037799,Damyan Ognyanoff,16
2090501,Greg Trezis,16
3463954,M. Schwieder,16
49854623,S. Suess,16
2064181672,Edgardo Ferran,16
2058740,Russell Harmer,16
2116415778,Bin Yu,16
2099250,E. Heard,16
2894178,Tamer Z. Emara,16
3954852,C. Toher,16
1761192,P. Treleaven,16
39743720,B. Nelson,16
103682810,Martina Björklund,16
41231262,M. Gomes,16
15210212,E. McKinney,16
2064347538,Amit Somani,16
1723945,Vitaly Shmatikov,16
7886986,Fabian Isensee,16
1754598,Jinglan Zhang,17
145272378,S. Mitra,17
52227748,Norman Mu,17
1709661,W. Aref,17
3339059,W. Wong,17
1500673788,Aozi Feng,17
2116431916,Xiaoming Li,17
2129455190,Zaixin Zhang,17
37909882,J. Grignon,17
3137672,Martin A. Riedmiller,17
3029482,L. Antiga,17
40536846,Chuan Lei,17
1711100,W. Zwaenepoel,17
2407411,Zuhair Khayyat,17
2837279,Jaeyong Kang,17
50384136,Qi Liu,17
143767945,A. Plaza,17
144154709,Jacob Eisenstein,17
11918365,N. S. Seyed Tabib,17
23757022,Lee Organick,17
1718214,Parikshit Gopalan,17
1737380,S. Hong,17
145066785,P. Panov,17
150026987,Ayam Pokhrel,17
3120224,A. Kiryakov,17
34957142,S. Nishio,17
88679617,L. Benos,17
27316199,Amirata Ghorbani,17
40360441,A. Amine,17
1722400,Rob A. Rutenbar,17
2875805,M. Alvers,17
49696992,Y. Sun,17
47747416,Brooke D. Simmons,17
46574709,Santosh Kumar,17
31399475,A. C. Lee,17
2724949,Jingbo Xu,17
9379106,Amjad J. Humaidi,18
153866711,S. Ventura,18
1808405,S. Yoo,18
51906013,Cathrine F. Seidelin,18
1402012502,Gabriel A. Al-Ghalith,18
1713644,Deming Chen,18
1761103,Timo Aila,18
47474337,Meng Zhang,18
2048803973,Yi Ren,18
2070355043,A. McKeown,18
1720617,A. Bradley,18
1729232,M. Lenzerini,18
144653825,A. Aiken,18
2151038285,Rui Wang,18
152290618,Qiang Yang,18
3403873,Ruben Taelman,18
2110195795,Christina Chen,18
2936830,L. Waldorp,18
143826246,A. Madry,18
2057427508,Sandra H Ott,18
3215781,Günes Aluç,18
2140053420,Ziming Wang,18
1739543667,Jun Liu,18
37417200,X. Long,18
1731453,T. Pedersen,18
3459979,A. Ekblaw,18
2092542,Valerio Grossi,18
2202746126,J. Gao,18
50564124,D. Crankshaw,18
46533048,Tobias Ziegler,18
2020035393,G. Fuchs,18
4597717,Z. Burkett,18
2048644,P. Bourne,18
101768561,A. Poom,18
1397951928,Klaus Maier-Hein,18
145013346,Y. Duan,19
51997673,Ninareh Mehrabi,19
2323922,Jonathan J. Hunt,19
2108602524,Jinho Lee,19
144204231,Lin Gu,19
1900211,S. Bowers,19
2707355,Michael Imelfort,19
1714355,Ioannis Koltsidas,19
2109858015,Jishen Zhao,19
39800707,J. Funderburk,19
2144811050,Xiaolin Jiang,19
143993045,Thomas Neumann,19
2286440807,Gong-Qing Wu,19
144875384,B. R. Noack,19
1388353546,W. Sweeney,19
2274294,Ralf Klinkenberg,19
47786204,Jiajia Li,19
2190044876,Ruoshi Li,19
